"CrimeType","DateTime","CaseNumber","Description","PoliceBeat","Address","City","State"
"VANDALISM","2018-03-02 14:30:00","18-011083","VANDALISM [$1,000 TO UNDER $5,000] (AMENDED)","33X","900 82ND","Oakland","CA"
"ASSAULT","2018-03-02 22:12:00","18-011084","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","24X","2200 RANSOM AV","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-01 21:15:00","18-021854","POSSESS MARIJUANA/HASHISH","26Y","1300 65TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-02 17:30:00","18-011207","VEHICLE THEFT - AUTO","03Y","400 7TH ST","Oakland","CA"
"VANDALISM","2018-03-02 16:00:00","18-011208","VANDALISM","19X","E 15TH ST & 1ST AV","Oakland","CA"
"ROBBERY","2018-03-03 17:50:00","18-011217","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","13Z","1900 MOUNTAIN BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-01 22:00:00","18-021982","VEHICLE THEFT - AUTO","05X","1600 MYRTLE ST","Oakland","CA"
"BURGLARY","2018-03-03 14:00:00","18-011221","SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950","01X","500 2ND ST","Oakland","CA"
"ASSAULT","2018-03-03 18:55:00","18-011223","BATTERY","30X","7100 HALLIDAY AV","Oakland","CA"
"ASSAULT","2018-05-03 23:00:00","18-022251","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","23X","3700 SAN LEANDRO ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-31 06:00:00","18-017664","ATTEMPT VEHICLE THEFT-AUTO","25X","5300 LEONA ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-30 22:00:00","18-021768","VEHICLE THEFT - AUTO","24Y","3300 VIOLA ST","Oakland","CA"
"THEFT/LARCENY","2018-05-04 09:00:00","18-022305","BURGLARY-AUTO","07X","2600 CAMPBELL ST","Oakland","CA"
"BURGLARY","2018-05-04 06:09:00","18-022312","SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950","24Y","3100 35TH AV","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-04 09:50:00","18-022313","POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA","34X","8200 OLIVE ST","Oakland","CA"
"BURGLARY","2018-04-05 00:00:00","18-017790","BURGLARY-FORCIBLE ENTRY","25X","3800 38TH AV","Oakland","CA"
"ASSAULT","2018-03-03 10:00:00","18-011151","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","31Y","8400 ENTERPRISE WY","Oakland","CA"
"ASSAULT","2018-05-01 21:00:00","18-021856","BATTERY","35X","2400 90TH AV","Oakland","CA"
"ASSAULT","2018-05-01 21:17:00","18-021857","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","18X","2000 23RD AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-01 17:00:00","18-021858","VEHICLE THEFT - AUTO","31Y","8900 SAN LEANDRO ST","Oakland","CA"
"ASSAULT","2018-05-01 21:40:00","18-021861","BATTERY","19X","6TH AV & EMBARCADERO","Oakland","CA"
"THEFT/LARCENY","2018-05-01 21:40:00","18-021862","THEFT","02X","00 MARKET ST","Oakland","CA"
"THEFT/LARCENY","2018-04-03 00:00:00","18-017382","BURGLARY-AUTO","19X","200 E 12TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-21 11:00:00","18-009831","VEHICLE THEFT - AUTO","21Y","3200 PRENTISS ST","Oakland","CA"
"ASSAULT","2018-03-03 19:49:00","18-011228","BATTERY","02Y","1400 8TH ST","Oakland","CA"
"VANDALISM","2018-02-22 23:00:00","18-009909","VANDALISM","31Y","9400 CORAL RD","Oakland","CA"
"DUI","2018-03-03 19:43:00","18-011229","DUI:ALCOHOL/DRUGS","09X","1900 PLEASANT VALLEY RD","Oakland","CA"
"DUI","2018-03-03 19:22:00","18-011230","DUI ALCOHOL/DRUGS","22X","3500 WILSON AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-02 21:00:00","18-011235","VEHICLE THEFT - AUTO","31Y","400 CLARA ST","Oakland","CA"
"ASSAULT","2018-03-03 20:50:00","18-011236","BATTERY","02Y","1800 14TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-02 16:00:00","18-011173","VEHICLE THEFT - AUTO","34X","8400 HOLLY ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-22 16:30:00","18-009695","VEHICLE THEFT - AUTO","30X","2600 68TH AV","Oakland","CA"
"ASSAULT","2018-05-04 09:57:00","18-022316","BATTERY","06X","2200 SAN PABLO AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-05 18:00:00","18-017590","VEHICLE THEFT - AUTO","04X","100 17TH ST","Oakland","CA"
"THEFT/LARCENY","2018-05-04 09:00:00","18-022317","BURGLARY-AUTO","03Y","400 7TH ST","Oakland","CA"
"THEFT/LARCENY","2018-05-01 22:00:00","18-022309","THEFT","30Y","2800 67TH AV","Oakland","CA"
"THEFT/LARCENY","2018-05-03 12:00:00","18-022594","THEFT","21Y","3300 LAUREL AV","Oakland","CA"
"ASSAULT","2018-03-03 10:41:00","18-011154","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","17X","800 E 19TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-02 17:56:00","18-011095","BURGLARY-AUTO","08X","25TH ST & NORTHGATE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-05 22:00:00","18-017386","VEHICLE THEFT - AUTO","16Y","3800 CANON AV","Oakland","CA"
"THEFT/LARCENY","2018-05-01 20:42:00","18-021864","THEFT","07X","800 MEAD AV","Oakland","CA"
"ASSAULT","2018-05-01 22:07:00","18-021866","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","20X","1500 24TH AV","Oakland","CA"
"VANDALISM","2018-05-01 14:25:00","18-021867","VANDALISM [UNDER $400]","01X","500 EMBARCADERO WEST","Oakland","CA"
"ASSAULT","2018-05-01 14:30:00","18-021868","BATTERY","09X","5100 BROADWAY","Oakland","CA"
"ASSAULT","2018-03-03 20:53:00","18-011237","BATTERY","04X","1800 TELEGRAPH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-04 05:41:00","18-022279","VEHICLE THEFT - AUTO","25X","4500 MACARTHUR BLVD","Oakland","CA"
"ASSAULT","2018-03-03 21:04:00","18-011239","BATTERY","04X","1700 BROADWAY","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-04 04:53:00","18-022282","POSSESS NARCOTIC CONTROLLED SUBSTANCE","09X","4100 PIEDMONT AV","Oakland","CA"
"ASSAULT","2018-03-03 20:50:00","18-011240","BATTERY","04X","1800 TELEGRAPH AV","Oakland","CA"
"BURGLARY","2018-05-04 06:20:00","18-022285","BURGLARY-FORCIBLE ENTRY","14Y","900 VERMONT ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-03 00:00:00","18-011174","VEHICLE THEFT - AUTO","02Y","3RD ST & HENRY ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-30 19:00:00","18-021810","VEHICLE THEFT - AUTO","21X","1900 27TH AV","Oakland","CA"
"THEFT/LARCENY","2018-05-04 01:30:00","18-022318","GRAND THEFT","09X","4200 BROADWAY","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-04 11:09:00","18-022327","VEHICLE THEFT - AUTO","26X","700 66TH AV","Oakland","CA"
"ROBBERY","2018-05-04 18:49:00","18-022407","ROBBERY-KNIFE OR CUTTING INSTRUMENT","23X","3800 INTERNATIONAL BLVD","Oakland","CA"
"THEFT/LARCENY","2018-04-30 18:00:00","18-021838","BURGLARY-AUTO","20X","1500 27TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-05 18:00:00","18-017797","VEHICLE THEFT - AUTO","12X","4900 SHATTUCK AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-22 19:00:00","18-009726","VEHICLE THEFT - AUTO","25Y","12700 BROOKPARK RD","Oakland","CA"
"BURGLARY","2018-05-01 10:00:00","18-021874","BURGLARY-NO FORCE","24Y","3500 BROOKDALE AV","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-03-02 23:55:00","18-011097","DISORDERLY CONDUCT:TOLUENE","23X","4100 FOOTHILL BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-03 22:08:00","18-011247","VEHICLE THEFT - AUTO","19X","1400 19TH AV","Oakland","CA"
"ASSAULT","2018-03-03 21:45:00","18-011248","BATTERY","02Y","800 CHESTER ST","Oakland","CA"
"ROBBERY","2018-03-03 22:37:00","18-011250","CARJACKING WITH KNIFE","33X","9100 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-03-04 20:05:00","18-011297","BATTERY","26Y","1300 80TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-03 14:40:00","18-022268","VEHICLE THEFT - AUTO","24Y","4100 CULVER ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-04 18:49:00","18-011374","VEHICLE THEFT - AUTO","20X","1700 26TH AV","Oakland","CA"
"ASSAULT","2018-05-04 18:59:00","18-022409","BATTERY","24Y","38TH AV & ALLENDALE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-03 16:30:00","18-022284","VEHICLE THEFT - AUTO","99X","3800 HOWE ST","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-03-03 13:54:00","18-011177","IT IS UNLAWFUL TO POSSESS AN OPIUM PIPE OR ANY DEVICE, CONTRIVANCE, INSTRUMENT, OR PARAPHERNALIA USED FOR UNLAWFULLY INJECTING OR SMOKING.","04X","JACKSON ST & LAKESIDE DR","Oakland","CA"
"THEFT/LARCENY","2018-04-05 18:30:00","18-017601","THEFT","18Y","2300 17TH AV","Oakland","CA"
"VANDALISM","2018-05-04 19:54:00","18-022411","VANDALISM:DAMAGE PROPERTY","34X","9600 HOLLY ST","Oakland","CA"
"THEFT/LARCENY","2018-05-03 21:30:00","18-022287","BURGLARY-AUTO","23X","2000 BLK OF 40TH AVE","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-02 18:00:00","18-017811","VEHICLE THEFT - AUTO","17Y","1300 E 27TH ST","Oakland","CA"
"ASSAULT","2018-05-03 01:04:00","18-022060","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","07X","800 ISABELLA ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-22 00:00:00","18-009730","VEHICLE THEFT - AUTO","22X","4300 FRUITVALE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-02 10:00:00","18-011103","VEHICLE THEFT - AUTO","23X","3900 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-03-03 00:15:00","18-011104","BATTERY","16X","3300 LAKESHORE AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-03 00:33:00","18-011106","VEHICLE THEFT - AUTO","17Y","1400 E 31ST ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-22 16:15:00","18-009740","VEHICLE THEFT - AUTO","12Y","400 CAVOUR ST","Oakland","CA"
"ASSAULT","2018-03-04 18:30:00","18-011377","BATTERY","26Y","7500 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-03-04 19:10:00","18-011378","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","02Y","800 WILLOW ST","Oakland","CA"
