"CrimeType","DateTime","CaseNumber","Description","PoliceBeat","Address","City","State"
"ASSAULT","2018-04-24 16:55:00","18-020566","BATTERY","14X","400 GRAND AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-24 19:00:00","18-020582","VEHICLE THEFT - AUTO","06X","800 BROCKHURST ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-20 00:00:00","18-020583","VEHICLE THEFT - AUTO","32X","99TH AV & PLYMOUTH ST","Oakland","CA"
"THEFT/LARCENY","2018-04-24 19:19:00","18-020585","GRAND THEFT:FIREARM/ANIMAL/ETC","04X","W GRAND AV & MARTIN LUTHER KING JR WY","Oakland","CA"
"THEFT/LARCENY","2018-04-23 00:00:00","18-020588","THEFT","28X","3400 HIGH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-22 14:09:00","18-020125","VEHICLE THEFT - AUTO","34X","1800 92ND AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-22 14:26:00","18-020126","VEHICLE THEFT - AUTO","23X","1600 FRUITVALE AV","Oakland","CA"
"ASSAULT","2018-04-22 16:24:00","18-020140","BATTERY","30Y","2500 CHURCH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-22 12:53:00","18-020141","VEHICLE THEFT - AUTO","23X","900 39TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-03-13 00:01:00","18-015532","VEHICLE THEFT - AUTO","10X","66TH ST & HERZOG ST","Oakland","CA"
"BURGLARY","2018-04-22 07:40:00","18-020142","BURGLARY-NO FORCE","15X","2200 LAKESHORE AV","Oakland","CA"
"ASSAULT","2018-04-23 18:27:00","18-020355","ASSAULT WITH FIREARM ON PERSON","31X","400 PENDLETON WY","Oakland","CA"
"THEFT/LARCENY","2018-02-14 20:00:00","18-008731","BURGLARY-AUTO","20X","3000 E 18TH ST","Oakland","CA"
"THEFT/LARCENY","2018-04-23 18:47:00","18-020360","BURGLARY-AUTO","21X","2700 E 23RD ST","Oakland","CA"
"ASSAULT","2018-04-23 19:00:00","18-020362","BATTERY","02X","800 UNION ST","Oakland","CA"
"ROBBERY","2018-04-23 21:30:00","18-020377","ROBBERY-FIREARM","26Y","1300 80TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-22 23:30:00","18-020378","VEHICLE THEFT - AUTO","22Y","2900 MACARTHUR BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-15 17:00:00","18-008384","VEHICLE THEFT - AUTO","19X","1500 13TH AV","Oakland","CA"
"THEFT/LARCENY","2018-05-08 18:00:00","18-023366","THEFT","04X","1400 JEFFERSON ST","Oakland","CA"
"THEFT/LARCENY","2018-04-21 03:00:00","18-020495","THEFT","03Y","400 7TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-24 09:20:00","18-020497","VEHICLE THEFT - AUTO","26X","4400 SAN LEANDRO ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-15 21:00:00","18-008392","VEHICLE THEFT - AUTO","25X","3600 MONTEREY BLVD","Oakland","CA"
"ASSAULT","2018-05-10 05:39:00","18-023372","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","26Y","1000 72ND AV","Oakland","CA"
"ASSAULT","2018-04-24 23:45:00","18-020622","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","09X","4400 MONTGOMERY ST","Oakland","CA"
"ASSAULT","2018-04-25 00:35:00","18-020623","SC BATTERY","03X","14TH ST & BROADWAY","Oakland","CA"
"VANDALISM","2018-04-25 00:06:00","18-020624","VANDALISM [$400 TO $5,000]","23X","1400 35TH AV","Oakland","CA"
"ROBBERY","2018-04-25 01:17:00","18-020627","ROBBERY-FIREARM","17Y","2100 11TH AV","Oakland","CA"
"ROBBERY","2018-04-25 01:30:00","18-020628","ROBBERY-OTHER DANGEROUS WEAPON","27Y","1400 BANCROFT WY","Oakland","CA"
"ROBBERY","2018-04-24 16:55:00","18-020590","ROBBERY-FIREARM","28X","5400 FLEMING AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-22 06:00:00","18-020144","SC STOLEN VEHICLE - AUTO","19X","00 7TH ST","Oakland","CA"
"THEFT/LARCENY","2018-04-22 09:41:00","18-020145","THEFT","23X","900 39TH AV","Oakland","CA"
"THEFT/LARCENY","2018-04-21 17:00:00","18-020149","THEFT","31Y","300 BURLWOOD AV","Oakland","CA"
"ROBBERY","2018-04-22 16:55:00","18-020150","ATTEMPTED ROBBERY-STRONG-ARM","23X","3200 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-04-22 16:55:00","18-020151","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","34X","94TH AV & WALNUT ST","Oakland","CA"
"THEFT/LARCENY","2018-04-16 15:00:00","18-020152","BURGLARY-AUTO","04X","500 21ST ST","Oakland","CA"
"THEFT/LARCENY","2018-03-10 18:00:00","18-014898","PETTY THEFT:$50-","19X","1100 3RD AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-23 22:33:00","18-020379","VEHICLE THEFT - AUTO","14X","300 MACARTHUR BLVD","Oakland","CA"
"VANDALISM","2018-04-23 18:55:00","18-020380","VANDALISM","33X","900 84TH AV","Oakland","CA"
"ASSAULT","2018-04-23 23:27:00","18-020383","BATTERY","30X","1400 71ST AV","Oakland","CA"
"ASSAULT","2018-04-23 23:40:00","18-020384","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","04X","1500 ALICE ST","Oakland","CA"
"ASSAULT","2018-04-23 23:57:00","18-020385","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","27Y","5900 HAYES ST","Oakland","CA"
"THEFT/LARCENY","2018-04-24 00:01:00","18-020498","BURGLARY-AUTO","03X","1200 WEBSTER ST","Oakland","CA"
"DISTURBING THE PEACE","2018-04-23 14:00:00","18-020514","OFFENSIVE WORDS IN PUBLIC PLACE","02X","800 12TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-15 20:00:00","18-008397","VEHICLE THEFT - AUTO","18X","2200 E 19TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-15 23:00:00","18-008398","VEHICLE THEFT - AUTO","10X","1000 57TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-24 13:30:00","18-020515","VEHICLE THEFT - AUTO","26Y","1100 71ST AV","Oakland","CA"
"THEFT/LARCENY","2018-02-12 18:00:00","18-008400","THEFT","31X","00 HEGENBERGER RD","Oakland","CA"
"FRAUD","2018-05-09 12:15:00","18-023257","GET CREDIT/ETC OTHER'S ID","34X","1700 98TH AV","Oakland","CA"
"THEFT/LARCENY","2018-04-24 00:01:00","18-020593","BURGLARY-AUTO","35Y","10300 GREENVIEW DR","Oakland","CA"
"THEFT/LARCENY","2018-04-24 18:20:00","18-020595","THEFT","25X","3400 38TH AV","Oakland","CA"
"THEFT/LARCENY","2018-04-24 17:15:00","18-020596","THEFT","30Y","8000 STERLING DR","Oakland","CA"
"THEFT/LARCENY","2018-03-02 13:00:00","18-014409","THEFT","32Y","10500 MACARTHUR BLVD","Oakland","CA"
"ASSAULT","2018-04-24 20:28:00","18-020598","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","14Y","100 SANTA ROSA AV","Oakland","CA"
"ASSAULT","2018-04-22 16:51:00","18-020153","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","17Y","1200 E 22ND ST","Oakland","CA"
"ASSAULT","2018-04-22 17:33:00","18-020154","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","27Y","1900 SEMINARY AV","Oakland","CA"
"ASSAULT","2018-04-22 17:30:00","18-020155","BATTERY W/SERIOUS BODILY INJURY","35X","2200 83RD AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-21 23:00:00","18-020158","VEHICLE THEFT - AUTO","26Y","800 69TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-22 17:15:00","18-020161","VEHICLE THEFT - AUTO","12Y","5800 TELEGRAPH AV","Oakland","CA"
"ROBBERY","2018-04-22 20:35:00","18-020178","ROBBERY-FIREARM","20X","2600 E 16TH ST","Oakland","CA"
"THEFT/LARCENY","2018-04-23 03:00:00","18-020387","GRAND THEFT","10X","1000 65TH ST","Oakland","CA"
"DISTURBING THE PEACE","2018-02-13 16:00:00","18-008785","DISTURB THE PEACE","99X","100 POWELL ST","Oakland","CA"
"ASSAULT","2018-04-24 00:05:00","18-020388","EXHIBIT DEADLY WEAPON OTHER THAN FIREARM","07X","3500 MAGNOLIA ST","Oakland","CA"
"SEX CRIMES","2018-02-12 21:28:00","18-008849","PANDERING","23X","1400 36TH AV","Oakland","CA"
"ASSAULT","2018-04-24 02:02:00","18-020401","THREAT CRIME:INT:TERRORIZE","19X","500 INTERNATIONAL BLVD","Oakland","CA"
"VANDALISM","2018-04-24 02:13:00","18-020402","VANDALISM (AMENDED)","32X","1200 102ND AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-15 22:00:00","18-008401","VEHICLE THEFT - AUTO","22Y","3200 DELAWARE ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-24 13:12:00","18-020516","VEHICLE THEFT - AUTO","08X","2700 BROADWAY","Oakland","CA"
"DISTURBING THE PEACE","2018-04-22 08:45:00","18-020518","DISTURB THE PEACE","08X","3200 KEMPTON AV","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-04-24 14:17:00","18-020525","POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA","34X","1400 83RD AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-15 13:00:00","18-008403","VEHICLE THEFT - AUTO","27Y","5600 HARMON AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-15 22:00:00","18-008409","VEHICLE THEFT - AUTO","19X","600 E 15TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-14 17:00:00","18-008602","VEHICLE THEFT - AUTO","03Y","400 7TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-24 19:30:00","18-020599","VEHICLE THEFT - AUTO","08X","2800 SUMMIT ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-16 22:30:00","18-011273","VEHICLE THEFT - AUTO","24X","2200 38TH AV","Oakland","CA"
"THEFT/LARCENY","2018-02-28 13:15:00","18-012344","GRAND THEFT","03X","7TH ST & FRANKLIN ST","Oakland","CA"
"THEFT/LARCENY","2018-04-21 14:30:00","18-020600","THEFT","08X","3800 SHAFTER AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-23 08:00:00","18-020602","VEHICLE THEFT - AUTO","21Y","3200 PRENTISS ST","Oakland","CA"
"VANDALISM","2018-04-15 00:00:00","18-020182","VANDALISM-$400","10Y","700 43RD ST","Oakland","CA"
"ASSAULT","2018-04-22 21:41:00","18-020184","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","06X","800 W MACARTHUR BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-21 17:00:00","18-020186","VEHICLE THEFT - AUTO","02Y","300 PERALTA ST","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-04-22 22:41:00","18-020187","POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA","34X","1400 89TH AV","Oakland","CA"
"THEFT/LARCENY","2018-04-22 20:00:00","18-020192","BURGLARY-AUTO","PDT2","600 MAGNOLIA AV","Oakland","CA"
"THEFT/LARCENY","2018-05-09 18:00:00","18-023394","BURGLARY-AUTO","19X","700 INTERNATIONAL BLVD","Oakland","CA"
"BURGLARY","2018-04-23 09:00:00","18-020405","BURGLARY-FORCIBLE ENTRY","34X","1800 94TH AV","Oakland","CA"
"BURGLARY","2018-04-24 02:49:00","18-020406","BURGLARY-FORCIBLE ENTRY","23X","3600 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-04-24 04:20:00","18-020411","BATTERY","10Y","800 61ST ST","Oakland","CA"
"ASSAULT","2018-04-24 03:31:00","18-020412","BATTERY","23X","900 35TH AV","Oakland","CA"
"VANDALISM","2018-04-24 06:18:00","18-020417","THROW SUBSTANCE AT VEH","26Y","HEGENBERGER RD&INTERNATIONAL BLVD","Oakland","CA"
"ARSON","2018-04-24 08:04:00","18-020429","CAUSING FIRE OF STRUCTURE/FOREST LAND","03Y","700 CASTRO ST","Oakland","CA"
"ASSAULT","2018-04-24 22:30:00","18-020528","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","31Z","10200 SAN LEANDRO ST","Oakland","CA"
"THEFT/LARCENY","2018-04-24 12:00:00","18-020529","BURGLARY-AUTO","30X","7200 BANCROFT AV","Oakland","CA"
"THEFT/LARCENY","2018-04-24 14:47:00","18-020531","BURGLARY-AUTO","08X","24TH ST & WEBSTER ST","Oakland","CA"
"VANDALISM","2018-02-15 23:00:00","18-008417","VANDALISM","29X","6400 FOOTHILL BLVD","Oakland","CA"
"DISTURBING THE PEACE","2018-02-15 19:45:00","18-008421","DISTURB THE PEACE","21Y","2700 BROOKDALE AV","Oakland","CA"
"ROBBERY","2018-04-24 23:30:00","18-020533","ROBBERY-FIREARM","23X","1400 35TH AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-17 21:00:00","18-020603","VEHICLE THEFT - AUTO","07X","2800 LINDEN ST","Oakland","CA"
"ASSAULT","2018-04-24 19:30:00","18-020605","THREAT CRIME:INT:TERRORIZE","22X","3600 DIMOND AV","Oakland","CA"
"DISTURBING THE PEACE","2018-04-24 02:19:00","18-020606","ANNOYING TELEPHONE CALL:OBSCENE/THREATENING","10Y","5100 MARTIN LUTHER KING JR W","Oakland","CA"
"ASSAULT","2018-04-24 14:28:00","18-020608","CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","02Y","900 MANDELA PKWY","Oakland","CA"
"ASSAULT","2018-04-24 09:20:00","18-020610","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","30X","1800 68TH AV","Oakland","CA"
"ROBBERY","2018-04-24 20:50:00","18-020611","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","29X","57TH AV & FOOTHILL BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-20 00:00:00","18-011538","VEHICLE THEFT - AUTO","31Y","HEGENBERGER RD & LEET DR","Oakland","CA"
"DUI","2018-04-23 00:23:00","18-020197","DUI ALCOHOL/DRUGS","30X","7400 WELD ST","Oakland","CA"
"ASSAULT","2018-04-23 00:10:00","18-020198","BATTERY","23X","1500 36TH AV","Oakland","CA"
"ASSAULT","2018-04-23 00:57:00","18-020200","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","34X","1700 86TH AV","Oakland","CA"
"DUI","2018-04-23 00:57:00","18-020201","DUI ALCOHOL/DRUGS","07X","2800 MANDELA PKWY","Oakland","CA"
"ASSAULT","2018-05-09 16:06:00","18-023289","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","23X","1000 41ST AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-23 21:00:00","18-020437","VEHICLE THEFT - AUTO","08X","300 OAKLAND AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-24 09:22:00","18-020439","VEHICLE THEFT - AUTO","19X","1900 EMBARCADERO","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-24 09:29:00","18-020440","VEHICLE THEFT - AUTO","19X","1600 E 12TH ST","Oakland","CA"
"THEFT/LARCENY","2018-04-19 08:00:00","18-020445","THEFT","19X","1000 E 12TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-22 12:00:00","18-020446","VEHICLE THEFT - AUTO","77X","7800 ROSEDALE","Oakland","CA"
"VANDALISM","2018-04-10 16:30:00","18-020448","VANDALISM-$400","02X","800 POPLAR CT","Oakland","CA"
"ASSAULT","2018-04-16 04:48:00","18-020534","THREAT CRIME:INT:TERRORIZE","34X","1900 90TH AV","Oakland","CA"
"THEFT/LARCENY","2018-02-15 19:00:00","18-008426","THEFT","12Y","5600 COLLEGE AV","Oakland","CA"
"ASSAULT","2018-04-25 23:30:00","18-020535","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","02X","1300 5TH ST","Oakland","CA"
"THEFT/LARCENY","2018-02-15 00:00:00","18-008456","THEFT","32Y","9800 BANCROFT AV","Oakland","CA"
"BURGLARY","2018-04-25 23:30:00","18-020536","BURGLARY-FORCIBLE ENTRY","31Y","8400 ENTERPRISE WY","Oakland","CA"
"ASSAULT","2018-04-24 13:50:00","18-020539","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","30X","1800 70TH AV","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-04-24 21:55:00","18-020613","DISORDERLY CONDUCT:TOLUENE","05X","1600 ADELINE ST","Oakland","CA"
"THEFT/LARCENY","2018-03-01 00:00:00","18-012352","BURGLARY-AUTO","05X","16TH ST & MANDELA PKWY","Oakland","CA"
"THEFT/LARCENY","2018-04-20 18:40:00","18-020615","THEFT","18Y","2100 17TH AV","Oakland","CA"
"ROBBERY","2018-04-24 22:27:00","18-020617","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","03X","WEBSTER ST & 9TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-02-15 21:30:00","18-008629","VEHICLE THEFT - AUTO","25X","4500 REINHARDT DR","Oakland","CA"
"THEFT/LARCENY","2018-04-24 22:07:00","18-020618","RECEIVING/CONCEALING STOLEN PROPERTY NOT MORE THAN $950","27Y","COLE ST & BANCROFT AV","Oakland","CA"
"ASSAULT","2018-04-23 01:23:00","18-020202","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","17Y","2100 13TH AV","Oakland","CA"
"ASSAULT","2018-04-22 20:35:00","18-020203","CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","26Y","1000 66TH AV","Oakland","CA"
"ASSAULT","2018-04-23 02:01:00","18-020206","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","19X","18TH AV & INTERNATIONAL BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-23 02:16:00","18-020208","VEHICLE THEFT - AUTO","33X","1300 83RD AV","Oakland","CA"
"ASSAULT","2018-04-23 02:14:00","18-020209","CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","34X","8900 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-04-23 17:00:00","18-020364","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","12X","500 44TH ST","Oakland","CA"
"VANDALISM","2018-04-19 12:30:00","18-020449","VANDALISM","27X","2100 HIGH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-23 21:00:00","18-020450","VEHICLE THEFT - AUTO","24X","3900 LYON AV","Oakland","CA"
"BURGLARY","2018-04-23 17:00:00","18-020451","BURGLARY-FORCIBLE ENTRY","31Y","200 HEGENBERGER RD","Oakland","CA"
"THEFT/LARCENY","2018-04-24 10:12:00","18-020480","GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400","04X","15TH ST & HARRISON ST","Oakland","CA"
"THEFT/LARCENY","2018-03-16 12:00:00","18-016301","THEFT","26X","4400 SAN LEANDRO ST","Oakland","CA"
"ASSAULT","2018-04-24 00:00:00","18-020485","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","14X","400 GRAND AV","Oakland","CA"
"ASSAULT","2018-04-24 14:00:00","18-020540","BATTERY","02X","900 3RD ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-25 06:45:00","18-020672","VEHICLE THEFT - AUTO","13Z","5900 SHEPHERD CANYON RD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-08 18:00:00","18-023280","VEHICLE THEFT - AUTO","04X","100 19TH ST","Oakland","CA"
"ASSAULT","2018-05-09 14:29:00","18-023281","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","11X","6100 SHATTUCK AV","Oakland","CA"
"ASSAULT","2018-04-24 22:00:00","18-020675","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","16Y","3600 13TH AV","Oakland","CA"
"BURGLARY","2018-02-15 23:00:00","18-008519","BURGLARY-FORCIBLE ENTRY","02X","1200 7TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-23 15:00:00","18-020619","VEHICLE THEFT - AUTO","04X","600 18TH ST","Oakland","CA"
"THEFT/LARCENY","2018-04-20 11:00:00","18-020620","THEFT","28X","4300 VIRGINIA AV","Oakland","CA"
"BURGLARY","2018-04-25 01:27:00","18-020630","BURGLARY-FORCIBLE ENTRY","27Y","5800 BANCROFT AV","Oakland","CA"
"ASSAULT","2018-04-25 01:40:00","18-020631","BATTERY","31Y","8400 EDES AV","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-07 22:30:00","18-023272","VEHICLE THEFT - AUTO","20X","2900 E 12TH ST","Oakland","CA"
"ASSAULT","2018-04-25 01:30:00","18-020632","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","13Y","00 TUNNEL RD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-23 07:00:00","18-020366","VEHICLE THEFT - AUTO","26X","5200 E 12TH ST","Oakland","CA"
"ROBBERY","2018-04-23 20:38:00","18-020370","ROBBERY-KNIFE OR CUTTING INSTRUMENT","09X","00 ECHO AV","Oakland","CA"
"BURGLARY","2018-03-29 00:00:00","18-016960","BURGLARY-FORCIBLE ENTRY","14Y","300 SANTA CLARA AV","Oakland","CA"
"THEFT/LARCENY","2018-04-23 20:30:00","18-020371","BURGLARY-AUTO","PDT2","600 MAGNOLIA AV","Oakland","CA"
"ROBBERY","2018-04-23 21:05:00","18-020373","ROBBERY-FIREARM","29X","5900 MACARTHUR BLVD","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-23 07:00:00","18-020501","SC STOLEN VEHICLE - OTHER VEHICLES","17Y","1000 E 24TH ST","Oakland","CA"
"THEFT/LARCENY","2018-04-21 08:00:00","18-021425","THEFT","20X","2900 GLASCOCK ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-28 12:00:00","18-021426","VEHICLE THEFT - AUTO","18X","1700 E 20TH ST","Oakland","CA"
"THEFT/LARCENY","2018-03-24 11:30:00","18-017780","THEFT","03Y","400 7TH ST","Oakland","CA"
"THEFT/LARCENY","2018-04-28 20:15:00","18-021427","THEFT","26X","700 HIGH ST","Oakland","CA"
"THEFT/LARCENY","2018-05-09 21:45:00","18-023337","THEFT","31X","7000 COLISEUM WY","Oakland","CA"
"VANDALISM","2018-03-24 00:00:00","18-017789","VANDALISM","08X","3800 BROADWAY","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-10 21:49:00","18-023569","VEHICLE THEFT - AUTO","34X","8300 BIRCH ST","Oakland","CA"
"ASSAULT","2018-05-10 20:28:00","18-023572","BATTERY","07X","2700 CHESTNUT ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-12 00:00:00","18-021613","VEHICLE THEFT - AUTO","33X","83RD AV & A ST","Oakland","CA"
"BURGLARY","2018-04-27 14:35:00","18-021614","BURGLARY-FORCIBLE ENTRY","26X","4300 JENSEN ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-10 10:00:00","18-023575","VEHICLE THEFT - AUTO","06X","900 YERBA BUENA AV","Oakland","CA"
"ASSAULT","2018-05-09 11:00:00","18-023577","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","19X","2200 E 12TH ST","Oakland","CA"
"ASSAULT","2018-02-17 14:00:00","18-012941","BATTERY","09X","4400 GILBERT ST","Oakland","CA"
"ROBBERY","2018-04-26 20:32:00","18-020998","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","17Y","1300 E 27TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-26 17:00:00","18-021001","VEHICLE THEFT - AUTO","26Y","900 71ST AV","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-04-26 21:29:00","18-021006","POSSESS CONTROLLED SUBSTANCE FOR SALE","07X","3400 PERALTA ST","Oakland","CA"
"ASSAULT","2018-04-19 22:00:00","18-021008","BATTERY","04X","1900 BROADWAY","Oakland","CA"
"ROBBERY","2018-04-26 23:00:00","18-021014","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","02Y","700 CENTER ST","Oakland","CA"
"THEFT/LARCENY","2018-04-28 09:33:00","18-021240","BURGLARY-AUTO","19X","1500 INTERNATIONAL BLVD","Oakland","CA"
"ASSAULT","2018-04-28 09:00:00","18-021243","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","30X","2600 68TH AV","Oakland","CA"
"ASSAULT","2018-04-28 09:38:00","18-021248","THREAT CRIME:INT:TERRORIZE","13X","00 SONIA ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-27 09:00:00","18-021249","VEHICLE THEFT - AUTO","12Y","6300 DANA ST","Oakland","CA"
"BURGLARY","2018-04-26 08:00:00","18-021250","BURGLARY-NO FORCE","13Z","6700 LONGWALK DR","Oakland","CA"
"ASSAULT","2018-04-28 10:40:00","18-021253","BATTERY","05X","800 20TH ST","Oakland","CA"
"WEAPONS","2018-05-10 23:17:00","18-023581","MISD-ILL USE OF TEAR GAS/TEAR GAS WEAPON","26Y","1100 70TH AV","Oakland","CA"
"ASSAULT","2018-05-10 22:57:00","18-023582","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","26Y","1000 70TH AV","Oakland","CA"
"ASSAULT","2018-05-11 00:25:00","18-023583","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","33X","9700 D ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-10 07:00:00","18-023457","VEHICLE THEFT - AUTO","77X","16TH ST & PULLMAN","Oakland","CA"
"BURGLARY","2018-05-10 11:15:00","18-023459","ATTEMPTED BURGLARY","22Y","3200 MADELINE ST","Oakland","CA"
"THEFT/LARCENY","2018-05-10 07:00:00","18-023461","BURGLARY-AUTO","31Y","500 HEGENBERGER RD","Oakland","CA"
"DISTURBING THE PEACE","2018-05-08 20:08:00","18-023466","DISTURB THE PEACE","22Y","3400 DAKOTA ST","Oakland","CA"
"DRUGS/ALCOHOL VIOLATIONS","2018-05-10 14:00:00","18-023472","TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE","29X","6100 BRANN ST","Oakland","CA"
"HOMICIDE","2018-04-01 00:00:00","18-017135","MURDER","08X","500 32ND ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-05-10 12:39:00","18-023476","VEHICLE THEFT - AUTO","30Y","PARTRIDGE AV & MICHIGAN AV","Oakland","CA"
"ASSAULT","2018-05-10 12:25:00","18-023486","BATTERY","12Y","5200 TELEGRAPH AV","Oakland","CA"
"THEFT/LARCENY","2018-05-10 12:00:00","18-023489","THEFT","09X","41ST ST & PIEDMONT AV","Oakland","CA"
"ASSAULT","2018-04-26 22:50:00","18-021017","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","11X","6000 RACINE ST","Oakland","CA"
"ASSAULT","2018-04-26 23:16:00","18-021019","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","26Y","61ST AV & INTERNATIONAL BLVD","Oakland","CA"
"VANDALISM","2018-04-26 21:12:00","18-021020","VANDALISM","34X","1800 92ND AV","Oakland","CA"
"DUI","2018-04-26 23:49:00","18-021022","DUI ALCOHOL/DRUGS","04X","100 BLOCK OF 14TH ST","Oakland","CA"
"MOTOR VEHICLE THEFT","2018-04-27 00:32:00","18-021024","VEHICLE THEFT - AUTO","30X","7600 HOLLY ST","Oakland","CA"
"THEFT/LARCENY","2018-04-25 17:30:00","18-021027","THEFT","21Y","3100 HYDE ST","Oakland","CA"
