CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,LOCATION,CITY,STATE
PROSTITUTION,12/03/2015 06:32:00 PM,15-064144,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 19TH AV,Oakland,CA
OTHER SEX OFFENSES,12/03/2015 06:55:00 PM,15-064146,DISORDERLY CONDUCT:SOLICIT LEWD ACT,20X,1400 DERBY AV,Oakland,CA
OTHER SEX OFFENSES,12/03/2015 06:55:00 PM,15-064146,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 DERBY AV,Oakland,CA
PROSTITUTION,12/03/2015 07:10:00 PM,15-064153,DISORDERLY CONDUCT:PROSTITUTION,20X,1400 DERBY AV,Oakland,CA
PROSTITUTION,12/09/2015 04:55:00 PM,15-065203,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,12/09/2015 05:01:00 PM,15-065207,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,12/09/2015 05:10:00 PM,15-065216,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,12/09/2015 05:27:00 PM,15-065208,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,12/09/2015 06:08:00 PM,15-065213,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,12/09/2015 06:56:00 PM,15-065222,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,12/09/2015 07:11:00 PM,15-065223,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,12/09/2015 07:50:00 PM,15-065227,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
