CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,LOCATION,CITY,STATE
PROSTITUTION,03/12/2015 07:23:00 PM,15-013419,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,03/12/2015 07:29:00 PM,15-013417,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,03/12/2015 07:33:00 PM,15-013420,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,03/12/2015 07:35:00 PM,15-013421,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,03/12/2015 07:56:00 PM,15-013422,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,03/12/2015 07:59:00 PM,15-013426,DISORDERLY CONDUCT:PROSTITUTION,31Y,150 HEGENBERGER RD,Oakland,CA
PROSTITUTION,03/18/2015 04:00:00 PM,15-014625,DISORDERLY CONDUCT:PROSTITUTION,19X,11TH AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/18/2015 05:27:00 PM,15-014600,DISORDERLY CONDUCT:PROSTITUTION,19X,20TH AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/18/2015 05:27:00 PM,15-014600,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,20TH AV & INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/18/2015 05:35:00 PM,15-014602,DISORDERLY CONDUCT:PROSTITUTION,18Y,2800 14TH AV,Oakland,CA
PROSTITUTION,03/18/2015 05:45:00 PM,15-014604,DISORDERLY CONDUCT:PROSTITUTION,19X,1700 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/18/2015 05:45:00 PM,15-014604,DISORDERLY CONDUCT:SOLICIT LEWD ACT,19X,1700 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,03/18/2015 05:49:00 PM,15-014605,DISORDERLY CONDUCT:PROSTITUTION,19X,1400 19TH AV,Oakland,CA
